STA_Lon_X,STA_Lat_Y,PGA
120.57913,21.936,0.02230965
120.57956,22.02593,0.02330085
120.57999,22.11587,0.0248125
120.58043,22.2058,0.02676545
120.58086,22.29573,0.02459605
120.5813,22.38566,0.0181974
120.58174,22.47559,0.0200185
120.58219,22.56553,0.02287465
120.58263,22.65546,0.0305263
120.58308,22.74539,0.03253005
120.58353,22.83532,0.0372427
120.58398,22.92526,0.03954
120.58444,23.01519,0.0422375
120.5849,23.10512,0.0546583
120.58536,23.19505,0.0573154
120.58582,23.28498,0.0861009
120.58628,23.37492,0.09191065
120.58675,23.46485,0.1414185
120.58722,23.55478,0.2165375
120.58769,23.64471,0.403468
120.58816,23.73464,0.270289
120.58864,23.82458,0.182167
120.58912,23.91451,0.217654
120.5896,24.00444,0.276172
120.59008,24.09437,0.2665855
120.59056,24.18431,0.2068655
120.59105,24.27424,0.2031135
120.59154,24.36417,0.129087
120.59203,24.4541,0.1254825
120.59253,24.54403,0.1110425
120.59303,24.63397,0.0904048
120.59353,24.7239,0.08459215
120.59403,24.81383,0.0789473
120.59453,24.90376,0.06591205
120.59504,24.99369,0.0532336
120.59555,25.08363,0.04444595
120.59606,25.17356,0.0423789
120.59658,25.26349,0.03394545
120.59709,25.35342,0.03174345
120.67462,21.6662,0.0146847
120.67511,21.75614,0.01627615
120.67559,21.84607,0.01832385
120.67608,21.936,0.0198115
120.67657,22.02593,0.02374315
120.67707,22.11587,0.0200488
120.67756,22.2058,0.0189718
120.67806,22.29573,0.01843865
120.67856,22.38566,0.0169157
120.67907,22.47559,0.0181159
120.67958,22.56553,0.02079565
120.68008,22.65546,0.02719225
120.6806,22.74539,0.03222185
120.68111,22.83532,0.03393365
120.68163,22.92526,0.03747
120.68215,23.01519,0.04335045
120.68267,23.10512,0.0482633
120.6832,23.19505,0.0496845
120.68372,23.28498,0.0707269
120.68425,23.37492,0.0931015
120.68479,23.46485,0.119715
120.68532,23.55478,0.250355
120.68586,23.64471,0.5837075
120.6864,23.73464,0.6472555
120.68695,23.82458,0.447844
120.68749,23.91451,0.623516
120.68804,24.00444,0.5813775
120.68859,24.09437,0.484756
120.68915,24.18431,0.408604
120.68971,24.27424,0.315829
120.69027,24.36417,0.2647375
120.69083,24.4541,0.1536435
120.69139,24.54403,0.113341
120.69196,24.63397,0.097771
120.69253,24.7239,0.08327435
120.69311,24.81383,0.0677954
120.69368,24.90376,0.0668284
120.69426,24.99369,0.05365995
120.69485,25.08363,0.0424462
120.69543,25.17356,0.036891
120.69602,25.26349,0.0354342
120.69661,25.35342,0.02641355
120.77139,21.6662,0.01568925
120.77193,21.75614,0.0149806
120.77248,21.84607,0.015015
120.77303,21.936,0.0170601
120.77359,22.02593,0.0197767
120.77414,22.11587,0.02141705
120.7747,22.2058,0.0176916
120.77526,22.29573,0.01748195
120.77583,22.38566,0.018388
120.77639,22.47559,0.0187334
120.77696,22.56553,0.01917185
